gs_file,split,category,count,missing_in_train_valid
preprocessed_products20cc80rnd100un_gs.pkl.gz,test,Kleidung & Accessoires,3392,False
preprocessed_products20cc80rnd100un_gs.pkl.gz,test,Möbel & Wohnen,2429,False
preprocessed_products20cc80rnd100un_gs.pkl.gz,test,Elektronik & Computer,768,False
preprocessed_products20cc80rnd100un_gs.pkl.gz,test,Spielzeug & Baby,517,False
preprocessed_products20cc80rnd100un_gs.pkl.gz,test,Kosmetik & Drogerie,415,False
preprocessed_products20cc80rnd100un_gs.pkl.gz,test,Sport & Freizeit,384,False
preprocessed_products20cc80rnd100un_gs.pkl.gz,test,Auto & Motorrad,351,False
preprocessed_products20cc80rnd100un_gs.pkl.gz,test,Werkzeug & Baumarkt,349,False
preprocessed_products20cc80rnd100un_gs.pkl.gz,test,Gesundheit & Pflege,159,False
preprocessed_products20cc80rnd100un_gs.pkl.gz,test,Bürobedarf,109,False
preprocessed_products20cc80rnd100un_gs.pkl.gz,test,Lebensmittel & Getränke,77,False
preprocessed_products20cc80rnd100un_gs.pkl.gz,test,"Bücher, Filme & Musik",34,False
preprocessed_products20cc80rnd100un_gs.pkl.gz,test,Haustier & Tierbedarf,16,False
preprocessed_products20cc80rnd100un_gs.pkl.gz,train_small,Kleidung & Accessoires,1129,False
preprocessed_products20cc80rnd100un_gs.pkl.gz,train_small,Elektronik & Computer,1024,False
preprocessed_products20cc80rnd100un_gs.pkl.gz,train_small,Möbel & Wohnen,881,False
preprocessed_products20cc80rnd100un_gs.pkl.gz,train_small,Werkzeug & Baumarkt,583,False
preprocessed_products20cc80rnd100un_gs.pkl.gz,train_small,Auto & Motorrad,294,False
preprocessed_products20cc80rnd100un_gs.pkl.gz,train_small,Spielzeug & Baby,287,False
preprocessed_products20cc80rnd100un_gs.pkl.gz,train_small,Kosmetik & Drogerie,286,False
preprocessed_products20cc80rnd100un_gs.pkl.gz,train_small,Sport & Freizeit,262,False
preprocessed_products20cc80rnd100un_gs.pkl.gz,train_small,Lebensmittel & Getränke,82,False
preprocessed_products20cc80rnd100un_gs.pkl.gz,train_small,Gesundheit & Pflege,79,False
preprocessed_products20cc80rnd100un_gs.pkl.gz,train_small,Bürobedarf,58,False
preprocessed_products20cc80rnd100un_gs.pkl.gz,train_small,Haustier & Tierbedarf,20,False
preprocessed_products20cc80rnd100un_gs.pkl.gz,train_small,"Bücher, Filme & Musik",15,False
preprocessed_products20cc80rnd100un_gs.pkl.gz,train_medium,Kleidung & Accessoires,2734,False
preprocessed_products20cc80rnd100un_gs.pkl.gz,train_medium,Elektronik & Computer,2423,False
preprocessed_products20cc80rnd100un_gs.pkl.gz,train_medium,Möbel & Wohnen,2131,False
preprocessed_products20cc80rnd100un_gs.pkl.gz,train_medium,Werkzeug & Baumarkt,1417,False
