Size,File,Category,Total,Percentage
small,category_A.csv,Möbel & Wohnen,1264,0.24692323
small,category_A.csv,Kleidung & Accessoires,1064,0.2078531
small,category_A.csv,Elektronik & Computer,923,0.18030865
small,category_A.csv,Werkzeug & Baumarkt,527,0.10294979
small,category_A.csv,Sport & Freizeit,374,0.07306114
small,category_A.csv,Spielzeug & Baby,328,0.06407501
small,category_A.csv,Auto & Motorrad,256,0.05000977
small,category_A.csv,Kosmetik & Drogerie,147,0.02871655
small,category_A.csv,Gesundheit & Pflege,101,0.01973042
small,category_A.csv,Lebensmittel & Getränke,59,0.01152569
small,category_A.csv,Bürobedarf,44,0.00859543
small,category_A.csv,"Bücher, Filme & Musik",29,0.00566517
small,category_A.csv,Haustier & Tierbedarf,3,0.00058605
small,category_B.csv,Möbel & Wohnen,1263,0.2469691
small,category_B.csv,Kleidung & Accessoires,1063,0.20786077
small,category_B.csv,Elektronik & Computer,926,0.18107157
small,category_B.csv,Werkzeug & Baumarkt,523,0.10226828
small,category_B.csv,Sport & Freizeit,373,0.07293704
small,category_B.csv,Spielzeug & Baby,328,0.06413766
small,category_B.csv,Auto & Motorrad,255,0.04986312
small,category_B.csv,Kosmetik & Drogerie,146,0.02854908
small,category_B.csv,Gesundheit & Pflege,101,0.01974971
small,category_B.csv,Lebensmittel & Getränke,59,0.01153696
small,category_B.csv,Bürobedarf,45,0.00879937
small,category_B.csv,"Bücher, Filme & Musik",29,0.00567071
small,category_B.csv,Haustier & Tierbedarf,3,0.00058662
small,category_valid.csv,Möbel & Wohnen,2244,0.24933333
small,category_valid.csv,Kleidung & Accessoires,2006,0.22288889
small,category_valid.csv,Elektronik & Computer,1421,0.15788889
small,category_valid.csv,Werkzeug & Baumarkt,876,0.09733333
small,category_valid.csv,Sport & Freizeit,719,0.07988889
small,category_valid.csv,Spielzeug & Baby,577,0.06411111
small,category_valid.csv,Auto & Motorrad,436,0.04844444
small,category_valid.csv,Kosmetik & Drogerie,268,0.02977778
small,category_valid.csv,Gesundheit & Pflege,177,0.01966667
small,category_valid.csv,Lebensmittel & Getränke,113,0.01255556
