Entity1,Entity2,Pair_ID,Answer,Answer_binary,Label,Match,Costs,Hard_Negative
"Brand: LEGO Name: LEGO Classic 10700 Green Baseplate 250mm x 250mm Price: 6.01 Description: Whether you are creating a garden, a forest or your own imaginative build, this green baseplate (module size: 32x32) proves to be an ideal starting point for building, displaying and playing with your LEGO® creations. The Green Baseplate (module size: 32x32) is 25 cm wide and 25 cm long.","Brand: Rosti Mepal Name: Mepal Bowl Cirqula 3000 ml Plastic Blue Price: 15.99 Description: Segmüller.de: Various meals and snacks can be stored safely in the Cirqula 3000 ml bowl. You can use the bowl in the microwave if desired and clean it in the dishwasher after use. Of course, the Cirqula 3000 ml bowl is also suitable for taking to the office or on a trip. - Bowl.",2016174783#97115452949,No,0,0,1,0.000233625,1
"Brand: Rosti Mepal Name: Mepal food storage container Freshkeeping container Multibowl Cirqula Nordic Green, polypropylene, thermoplastic elastomers, (1-piece) blue 350 ml - Ø 12.5 cm x 12.5 cm x 13.5 cm x 5.8 cm Price: 6.99 Description: Height , 5.8 cm, Width , 12.5 cm, Length , 13.5 cm, Diameter , 12.5 cm, Capacity , 350 ml, Material , Polypropylene, Thermoplastic Elastomers, Color , Nordic Blue,","Brand: Hela Name: Coffee table HELA Tables W H D: 110 cm x 58 cm x 70 cm, central pull-out with insert shelf, brown (artisan oak, artisan oak) Rectangular coffee table, table with function, extendable and height-adjustable Price: 479.99 Description: Functional coffee table, tabletop extendable with insert shelf, tabletop and base plate with rounded edges, height-adjustable via lift, column with decorative trim",3831306916#18465755385,No,0,0,1,0.000252,1
"Brand: Mattel Games Name: Mattel Games O'NO 99, party game Price: 11.95 Description: In the easy-to-learn, fast-paced card game O'NO 99, 2 to 6 players try not to be the person who plays a card that causes the running total to exceed 99. When a player plays a card to the discard pile, they must announce the new total and every card affects the total. But remember: the total must stay under 99. Watch out for the ONO 99 card: if a player receives or draws this card, they must keep it and may not play it. O'NO 99 is great practice for children who are learning addition and subtraction. The last player remaining wins. A great idea for game night or travel. Colors and design may vary.","Brand: Salomon Name: Salomon XA PRO 3D v8 multifunction shoes men's in black-black-magnet, size 45 1 3 Price: 114.95 Description: Lightweight multifunction shoes; seamless and breathable 3D mesh upper; 3D Advanced Chassis™ for stability and comfort for a secure ride; rubber toe cap; SensiFit™ wraps the foot from the midsole to the lacing system, providing a personalized fit across the entire foot; Quicklace™ quick-lacing system; lace pocket; upper with pull-on tab; textile lining; OrthoLite® insole; EnergyCell EVA foam provides excellent cushioning; durable, well-profiled Contagrip® MA outsole; drop: 11 mm.",4413493983#5050453220,No,0,0,1,0.00033949999999999996,1
"Brand: Konstsmide Name: KONSTSMIDE Micro LED string lights green String lights and light tube Decorative lamps lights Price: 21.99 Description: Small but mighty! When the tiny sparkling lights of this high-quality string light compete in brightness on Advent nights, a festive atmosphere immediately fills the home. Whether adorning your Christmas tree, fir branches, garlands or wreaths, the magic of the delicate micro lights bathes everything in a festive, mood-setting glow. Look forward to a durable quality product from Konstsmide that you and your loved ones will enjoy for a long time. Konstsmide has specialized in the manufacture of high-quality light decorations for indoor and outdoor use for over 40 years and has been a driving force for environmentally friendly, durable and safe LED solutions since 1999. Technical data: Micro LED string lights, 24V indoor transformer. Power connection: Euro plug, Protection class: IP20, Bulb type: LED, Supply cable: 300 cm, Lamp spacing: 7 cm","Brand: Bosch Name: BOSCH Cordless Impact Driver EasyImpact 1200, with Battery and Charger, green - impact driver   tools   machines Price: 109.99 Description: The practical helper for all small projects. Compact, lightweight design with powerful performance. Torque preselection with 20 torque settings. Drill and hammer-drill setting. 10 mm shank and a single-sleeve chuck for easy screwing and simple bit changes.",1711900697#3956668079,No,0,0,1,0.000322875,1
"Brand: Diesel Name: Diesel Men's Chief Chronograph Watch DZ4318 Price: 119.9 Description: Product description As part of the Advanced collection, the Diesel Men's Chief Chronograph watch is a boss among watches with its futuristic high-tech look. The three-subdial chronograph is ideal for precise timekeeping. The watch is also water resistant to 100 meters, making it suitable for swimming and light water sports. The durable gun-metal stainless steel case protects the striking display, which has an all-day glow effect with a luminous red and blue color scheme. The dial features chunky numerals, large hands and a date window at 3 o'clock. The Diesel motto ""Only The Brave"" sits below the 12 o'clock mark. If you're looking for a designer watch with real impact, the Men's Diesel Chief Chronograph delivers. Water resistant to 100 m, so perfect for swimming and water sports Powered by a quartz movement for excellent time accuracy Durable, rust-resistant 54 mm gun-metal stainless steel case Product specifications Case depth approx. 14.00 mm Case shape Round Case width approx. 54.00 mm Clasp type Push-button Color dial Black Gender Men Glass Crystal Model collection Advanced Model name Chief Movement Japan, quartz Strap color Black Water resistance 100 meters Weight (g) 205.00 Warranty 2 years",Brand: Landsail Name: 4x Landsail SD CT6 165 80 R13 96N Summer tires Offer ID728872 Price: 242.24 Description: 4x Landsail SD CT6 165 80 R13 96N Summer tires Offer ID728872,4142357884#3731893848,No,0,0,1,0.00034475,0
Brand: Di-Life Name: Mattel O'NO 99 (62638168) Price: 13.09 Description: Contents: O'NO 99 card game The card game ONO 99 is an exciting game in which players place their cards on a discard pile. Each card counts and some special cards can affect the game...,Brand: Falken Name: Falken file binder Falken binder FALKEN PP-Color DIN A4 spine width: 50 mm green 2 prongs 9984147 Price: 2.52 Description: ,4662116837#4572965795,No,0,0,1,0.000158375,1
"Brand: Vibram Name: FiveFingers V-Run EVO 2 Women - Running Shoes, Black, 37 EUR Price: 119.2 Description: Trail running women's shoes. The V-Run Evo 2 Women is now even more comfortable. This toe shoe from Vibram FiveFingers is THE shoe for all female runners and trail runners who are looking for a lightweight, minimalist shoe with a barefoot feel for medium-length runs on asphalt, gravel or forest paths. This is achieved in part by the thin sole made from a special rubber compound (Vibram Megagrip Rubber Pods). This sole, with its special rubber lugs, also provides excellent traction on wet surfaces. In addition, the new Bikila EVO 2 also incorporates a lightly cushioning midsole made of VI-LITE EVA to absorb impacts and Vibram XS RUN for optimal grip (a weather- and stress-resistant polymer). The Vibram MONT compound is ideal for trekking and mountaineering. Machine washable, air dry. Lacing with toggle and adjustable tongue. Reinforced toe box for each toe.",Brand: Vibram Name: Vibram Five Fingers V-Run - Running Shoes - Women's Black   Yellow   Purple 41 Price: 129.9 Description: Vibram Five Fingers - V-Run - Running Shoes - Buy online now! - Free shipping from €100 and free returns - 100-day returns - Expert advice V-Run - Running Shoes - Women's,2723629064#54161621292,No,0,0,1,0.00031412499999999995,1
Brand: WMF Name: WMF Profi Plus Potato Masher 29cm (18.7169.6030) Price: 26.99 Description: WMF Potato Masher Profi Plus 29cm silver,"Brand: WMF Name: WMF ""Profi Plus"" potato masher — kitchen press, silver (stainless-steel) finish, masher tines with hanging loop Price: 32.02 Description: Thanks to the special shape of its front section with slightly flexible yet sturdy loops, working with the 29 cm long Profi Plus potato masher from WMF is a breeze. Cooked potatoes are quickly and effortlessly crushed to be turned into creamy mash, delicious dumplings or gnocchi. Cooked carrots, celery and many other vegetables are also quickly transformed into easy food for toddlers, apples into tasty applesauce, and berries into fruity compote. Even a minestrone can be given the desired creaminess in no time. Made from the equally elegant and durable Cromargan®: stainless steel 18 10, the Profi Plus potato masher is particularly robust and long‑lasting and of course may be cleaned conveniently and comfortably in the dishwasher.",106428061780#18466202308,Yes,1,1,1,0.00026775,0
Brand: Nestle Health Science (Deutschland) GmbH Name: OPTIFAST Vegetable Soup 440 g Price: 20.99 Description: OPTIFAST Vegetable Soup - available without prescription - by Nestlé Health Science (Germany) GmbH - powder - 440 g,"Brand: TechniSat Name: TechniSat DIGITRADIO 451 CD IR - Digital, Internet radio with CD player (DAB+, FM, stereo, AUX-in, Bluetooth audio streaming, Spotify, USB with charging and MP3 playback, Wi‑Fi, 2 x 15 Watt) wood Price: 191.81 Description: Versatile digital radio: Receives stations via DAB+, FM (analog) or the Internet, with podcast function, AUX-in, USB charging + playback, CD player, and audio streaming (Spotify, Bluetooth). Powerful sound: Two 15-watt speakers and the DIGITRADIO's equalizer deliver strong, individually adjustable stereo sound; 40 preset memory slots each for DAB and FM. Practical: The radio includes a clock and, thanks to convenient snooze, sleep, and alarm functions, can also be used as a radio alarm clock. The 2.4-inch color TFT display is dimmable. Easy operation: The internet-capable radio can be easily integrated into the home network thanks to built-in Wi‑Fi connectivity. Control can be done directly on the device, via app, or with the remote control. Scope of delivery: TechniSat DIGITRADIO 451 CD IR, wood, DAB FM telescopic antenna - non-removable, power supply (internal), remote control, user manual. Product dimensions (W x H x D): 37.50 x 15.00 x 21 cm.",1427123096#4196598949,No,0,0,1,0.00037187499999999997,0
"Brand: Formesse Name: Fitted sheet Made in Germany, blue, approx. 180-200 200-220 cm, Formesse Price: 94.99 Description: Fitted sheet: from FORMESSE. Jersey made of 97% cotton, 3% elastane. With aloe vera and silk proteins. Elasticated all around. Also suitable for waterbeds and mattresses up to 30 cm high.","Brand: formesse Name: Fitted sheet in natural from Formesse Price: 49.99 Description: Fitted sheet ""Bella Donna"" FORMESSE. Jersey, 97% cotton, 3% elastane. With aloe vera and silk proteins. Especially soft and shiny. All-around elastic. Approx. 770 g. Also fits waterbeds and mattresses up to 30 cm high.",2070915408#4037072294,No,0,0,1,0.000203875,1
