language,split,ratio,unseen,size,file,rows_before,rows_deleted,rows_after,matches_before,matches_after,nonmatches_before,nonmatches_after,products_before,products_after,offers_before,offers_after,seen_product_share_after,sha256_before,sha256_after
de,test,20cc80rnd,000un,,gold-standards_adjusted/products20cc80rnd000un_gs.json.gz,4478,24,4454,408,407,4070,4047,500,500,1000,1000,1.0,4ebfcc09d88d0ceafec8c94bdf8b89c0d30d9f045bed047777a024293dd2a203,e53100e24d62fe6d2c9e9ed8ad4795417e3bd85c0408365710abe689d0be3f8c
de,test,20cc80rnd,050un,,gold-standards_adjusted/products20cc80rnd050un_gs.json.gz,4455,26,4429,355,352,4100,4077,500,500,1000,1000,0.5,a806d4756fe9917d05d4e9fe43908da5f74822564d8516fef073248d389f6fe0,66bd2d78dda1e12aca1bacce94c56175c330b0078ceb63727f68fb920501a02f
de,test,20cc80rnd,100un,,gold-standards_adjusted/products20cc80rnd100un_gs.json.gz,4459,10,4449,366,360,4093,4089,500,500,1000,1000,0.0,d6a770b25523c00bc06523834267b5ec36799fc57ce27aac42aa992ce01f47a3,add7bd8591b2ab47b1f74a3ee2781a0b72843296cd549f49f22ff4ebf8a1f067
de,test,50cc50rnd,000un,,gold-standards_adjusted/products50cc50rnd000un_gs.json.gz,4470,43,4427,366,364,4104,4063,500,500,1000,1000,1.0,d81e74957f72663234fe4ad07ba6a21d93daad5aa2917af9e0782c315df4e949,785bba75f07d135861a8b9551f1f76f1e772ac6ef468d349118691264e89bbb8
de,test,50cc50rnd,050un,,gold-standards_adjusted/products50cc50rnd050un_gs.json.gz,4466,48,4418,355,346,4111,4072,500,500,1000,1000,0.5,283e3314fbc0f9d1c064bad581a745b4dbbb1f7100af50e358d38977d62e6b0d,4686085962e08b60a94354e1cd186ffda9d0ab3c2b05fcd7bb69bf6ce22b4f67
de,test,50cc50rnd,100un,,gold-standards_adjusted/products50cc50rnd100un_gs.json.gz,4479,21,4458,382,369,4097,4089,500,500,1000,1000,0.0,45617ca19197f2de0a278c25f6d8cc157d570faec0961c3fdde508543a3bad0d,4e9c339f862725c6ad95071082c9b9bfd4303345618e9f376d9394023e254a0b
de,test,80cc20rnd,000un,,gold-standards_adjusted/products80cc20rnd000un_gs.json.gz,4474,34,4440,346,342,4128,4098,500,500,1000,1000,1.0,556cedc0c0e753410896ed4e5034b8efbbff9be0c79892b80593a2d0efa06ada,91972ca8885ab5d1a1e44b1f3bf46cc6710af2bbfcf9b8d491fb731cb2fdd6c0
de,test,80cc20rnd,050un,,gold-standards_adjusted/products80cc20rnd050un_gs.json.gz,4470,33,4437,371,361,4099,4076,500,500,1000,1000,0.5,1c6ca77a731bfc4c5dc4aa79f21103eb1bc86762b35302f5c726130087703c7e,a6973081c59930a1331df0909eeed96b8351ddb54899d9bb4936360c9bcc5204
de,test,80cc20rnd,100un,,gold-standards_adjusted/products80cc20rnd100un_gs.json.gz,4463,16,4447,356,348,4107,4099,500,500,1000,1000,0.0,e68432890a627fae047eabc52a1590f210f22b7074331857683b928cbda573c8,11a2b7b662784326ea4173a81a87e1c4f71bd3247919e42560e988d1ca55dffd
de,train,20cc80rnd,000un,large,training-sets/products20cc80rnd000un_train_large.json.gz,27393,281,27112,13273,13100,14120,14012,500,500,3530,3530,,2b39bc447f05b6f4e9029372683a51585ad70f1cdb1c819466c31b9c5514fb14,0d4a13df473b1b69bace5b00f8c5aaefa2b0de64ced354ea492cab342c8b9952
de,train,20cc80rnd,000un,medium,training-sets/products20cc80rnd000un_train_medium.json.gz,6000,87,5913,1500,1457,4500,4456,500,500,1500,1500,,e613f6a8d3fafb680dc8121b1873465f537eed766eeeee9caeaec7e8a0e17fb7,32a4f248f1cfb539f18349884a2eaaa8073efa58b4f9d5aa11d4fbf1b43294e8
de,train,20cc80rnd,000un,small,training-sets/products20cc80rnd000un_train_small.json.gz,2500,36,2464,500,485,2000,1979,500,500,1000,1000,,dd1e18cc1ec436e2a348ca048954b63da1563470a9f69236b332e4b13e650f37,f3f2fa9ee75d6793818fff947e303134865824fac77ca2e9c0be96907904ad2b
de,train,50cc50rnd,000un,large,training-sets/products50cc50rnd000un_train_large.json.gz,27324,300,27024,13196,13024,14128,14000,500,500,3532,3532,,0e9eafe2ec634812166a76d9107dc6b3abc4a89b85aa2b670518f04e6a1222f8,37e3969652b8414e1dc6ea048a8767bf37a37f60193adfb40ceb1490a2ca1254
de,train,50cc50rnd,000un,medium,training-sets/products50cc50rnd000un_train_medium.json.gz,6000,95,5905,1500,1464,4500,4441,500,500,1500,1500,,b59e34a7bbca4ee496a12b6b1673a5e4cd90a10bfa0e67e9e19909cbb68e6727,ca48e0429192eebb5002615b68d174ca436267b2d4752f3f6f4c60dc1c25ebbe
de,train,50cc50rnd,000un,small,training-sets/products50cc50rnd000un_train_small.json.gz,2500,39,2461,500,482,2000,1979,500,500,1000,1000,,77837764ec75d612319c95aca7ccc1373318f05e9f7e63eabe8fc2f7a8246946,3d0f73631e1c5197aa6d075881630ba6bbe52014d9a2e4cca43729a7602f5d1b
de,train,80cc20rnd,000un,large,training-sets/products80cc20rnd000un_train_large.json.gz,26888,317,26571,12896,12747,13992,13824,500,500,3498,3498,,586ab6356c6d98020c8e44025d68d761d91ac2627e72a5325269ae276b0f21b0,bd8ee214df1a19290e3559cffbd4ce7276f8becc1ce03f8a8a8c109bdb5ab5a6
de,train,80cc20rnd,000un,medium,training-sets/products80cc20rnd000un_train_medium.json.gz,6000,103,5897,1500,1462,4500,4435,500,500,1500,1500,,ed026b585eac7d5ab1fde0fb01933a745daeff1e099c14a8789337d4a4a8ea43,9c246146388f6c169b461566cd93800f9b3625652a786c19e2fbb66ad7fb88bd
de,train,80cc20rnd,000un,small,training-sets/products80cc20rnd000un_train_small.json.gz,2500,25,2475,500,492,2000,1983,500,500,1000,1000,,7162e7c6df069eb803a507edf4ceec24f0ecf94570a0d4b7a7b172c8d000c14d,6bc5369947834a919a27db437d51a03f71b20d65ddd953d245c8be695a67eaf5
de,validation,20cc80rnd,000un,large,validation-sets/products20cc80rnd000un_valid_large.json.gz,4500,25,4475,500,491,4000,3984,500,500,1000,1000,1.0,72d4b6a7f96d0a61d36c731172ba2c100b84d616a0c4e07066e3bf29c1b681b8,4f9c1b53eecd6763b42d5f4ad0ee58c9af8b47c40ea12f66452fa1aed793dfca
de,validation,20cc80rnd,000un,medium,validation-sets/products20cc80rnd000un_valid_medium.json.gz,3500,20,3480,500,491,3000,2989,500,500,1000,1000,1.0,b05d0444dd136b2bb61d03cc2904bbad93bdee6a503dd067d254169a89c5be1f,07fba54946290fb68eb589b49d7a6b519c21fa620d314157b1960338b51e7de2
de,validation,20cc80rnd,000un,small,validation-sets/products20cc80rnd000un_valid_small.json.gz,2500,16,2484,500,491,2000,1993,500,500,1000,1000,1.0,ae28a2f25ac1f0b54aade49d3ef6f99d831f5391cf0fbc14517b3a03b743604b,1f1e71b12da61e17dc736aa9202fa2251e246ad8739b0ac5f37fd16dde80db8b
de,validation,20cc80rnd,050un,large,validation-sets/products20cc80rnd050un_valid_large.json.gz,4500,38,4462,500,490,4000,3972,500,500,1000,1000,0.5,40c3cad38f66647ee2d9460c4839f15ec50ab9900e33e19746d435999ef8387e,85a91f620ee4b29e06325da2785156c0bb4337a04ec6cba6b727bcee136d4a48
de,validation,20cc80rnd,050un,medium,validation-sets/products20cc80rnd050un_valid_medium.json.gz,3500,31,3469,500,490,3000,2979,500,500,1000,1000,0.5,97de63a94317829911c4beb955261308a9dcce117e834039933cf2036d175188,83cb1cff39d3781652a3263d62a5af3dd1d6cd496a04ab5c957c2f87018288ce
de,validation,20cc80rnd,050un,small,validation-sets/products20cc80rnd050un_valid_small.json.gz,2500,26,2474,500,490,2000,1984,500,500,1000,1000,0.5,dcc0838e12722d031fe90439c325d5377f7988673d8f972c167b51170533edee,0c3e0c46e9b6766b107b8ea8da847c919185dc4fd04c38e9c700a20bad6480b7
