id_a,id_b,labels,occurrences
107766860234,4944977785,"0,1",training-sets/products50cc50rnd000un_train_large.json.gz:13252=1;validation-sets/products80cc20rnd000un_valid_large.json.gz:1694=1;validation-sets/products80cc20rnd000un_valid_medium.json.gz:3024=1;validation-sets/products80cc20rnd000un_valid_small.json.gz:896=1;gold-standards_adjusted/products20cc80rnd000un_gs.json.gz:4160=0
109165560395,150594502346,"0,1",gold-standards_adjusted/products50cc50rnd050un_gs.json.gz:140=0;gold-standards_adjusted/products80cc20rnd050un_gs.json.gz:1728=1
113940347013,4332430854,"0,1",training-sets/products20cc80rnd000un_train_large.json.gz:2894=1;training-sets/products20cc80rnd000un_train_medium.json.gz:1342=1;gold-standards_adjusted/products80cc20rnd000un_gs.json.gz:1260=0
1309241819,1309241821,"0,1",training-sets/products20cc80rnd000un_train_large.json.gz:8298=1;gold-standards_adjusted/products50cc50rnd050un_gs.json.gz:3192=0
1309241824,1748267407,"0,1",training-sets/products50cc50rnd000un_train_large.json.gz:24591=1;training-sets/products80cc20rnd000un_train_large.json.gz:8564=1;gold-standards_adjusted/products20cc80rnd000un_gs.json.gz:2165=0
1309258396,3400949384,"0,1",training-sets/products50cc50rnd000un_train_large.json.gz:17293=1;gold-standards_adjusted/products80cc20rnd000un_gs.json.gz:2206=0
1312695289,4570764341,"0,1",training-sets/products80cc20rnd000un_train_large.json.gz:500=1;gold-standards_adjusted/products80cc20rnd050un_gs.json.gz:4086=0
1312745457,4292931987,"0,1",training-sets/products50cc50rnd000un_train_large.json.gz:14148=1;training-sets/products80cc20rnd000un_train_large.json.gz:12868=1;gold-standards_adjusted/products50cc50rnd050un_gs.json.gz:4133=0
1316070485,1929601246,"0,1",training-sets/products20cc80rnd000un_train_large.json.gz:5320=1;training-sets/products50cc50rnd000un_train_large.json.gz:20139=1;gold-standards_adjusted/products50cc50rnd050un_gs.json.gz:4103=0
1319944337,1321409006,"0,1",training-sets/products50cc50rnd000un_train_large.json.gz:26799=1;training-sets/products50cc50rnd000un_train_medium.json.gz:3825=1;gold-standards_adjusted/products20cc80rnd000un_gs.json.gz:2508=0
