language,file,row,pair_id,id_left,id_right,product_id_left,product_id_right,label,reason
de,gold-standards_adjusted/products20cc80rnd000un_gs.json.gz,147,18956333945#4522343644,18956333945,4522343644,3449331757,3449331757,0,label_conflict
de,gold-standards_adjusted/products20cc80rnd000un_gs.json.gz,287,4424218136#4670277179,4424218136,4670277179,3534496725,3534496725,0,label_conflict
de,gold-standards_adjusted/products20cc80rnd000un_gs.json.gz,383,4754817670#4826662409,4754817670,4826662409,3747616575,3747616575,0,label_conflict
de,gold-standards_adjusted/products20cc80rnd000un_gs.json.gz,431,5214349442#60746273843,5214349442,60746273843,4390305322,4390305322,0,label_conflict
de,gold-standards_adjusted/products20cc80rnd000un_gs.json.gz,1207,427593909142#416910186231,427593909142,416910186231,2269359239,2269359239,0,label_conflict
de,gold-standards_adjusted/products20cc80rnd000un_gs.json.gz,1252,1974801707#4797165686,1974801707,4797165686,2963410238,2963410238,0,label_conflict
de,gold-standards_adjusted/products20cc80rnd000un_gs.json.gz,1274,1485299018#1485299013,1485299018,1485299013,3743942671,3743942671,0,label_conflict
de,gold-standards_adjusted/products20cc80rnd000un_gs.json.gz,1291,3713044717#3708433646,3713044717,3708433646,1943897291,1943897291,0,label_conflict
de,gold-standards_adjusted/products20cc80rnd000un_gs.json.gz,1836,3846933347#4242576131,3846933347,4242576131,2933424034,2933424034,0,label_conflict
de,gold-standards_adjusted/products20cc80rnd000un_gs.json.gz,2048,5063243277#5103620556,5063243277,5103620556,4213840094,4213840094,0,label_conflict
de,gold-standards_adjusted/products20cc80rnd000un_gs.json.gz,2165,1309241824#1748267407,1309241824,1748267407,2191414467,2191414467,0,label_conflict
de,gold-standards_adjusted/products20cc80rnd000un_gs.json.gz,2508,1321409006#1319944337,1321409006,1319944337,1682577947,1682577947,0,label_conflict
de,gold-standards_adjusted/products20cc80rnd000un_gs.json.gz,2819,2054953236#2123105045,2054953236,2123105045,1683100131,1683100131,0,label_conflict
de,gold-standards_adjusted/products20cc80rnd000un_gs.json.gz,3145,4359345479#4243154090,4359345479,4243154090,3830438873,3830438873,0,label_conflict
de,gold-standards_adjusted/products20cc80rnd000un_gs.json.gz,3333,3997184387#5068111044,3997184387,5068111044,2817708769,2817708769,0,label_conflict
de,gold-standards_adjusted/products20cc80rnd000un_gs.json.gz,3388,200793780504#15721336763,200793780504,15721336763,3717045499,3717045499,0,label_conflict
de,gold-standards_adjusted/products20cc80rnd000un_gs.json.gz,3692,3212722992#3860598463,3212722992,3860598463,2334448515,2334448515,1,label_conflict
de,gold-standards_adjusted/products20cc80rnd000un_gs.json.gz,3800,2055878959#2066608628,2055878959,2066608628,1700909617,1700909617,0,label_conflict
de,gold-standards_adjusted/products20cc80rnd000un_gs.json.gz,3868,3794197830#4862162402,3794197830,4862162402,3816931111,3816931111,0,label_conflict
de,gold-standards_adjusted/products20cc80rnd000un_gs.json.gz,3888,2134510956#1548025566,2134510956,1548025566,1626693599,1626693599,0,label_conflict
de,gold-standards_adjusted/products20cc80rnd000un_gs.json.gz,3923,4589673799#4595119059,4589673799,4595119059,3857627448,3857627448,0,label_conflict
de,gold-standards_adjusted/products20cc80rnd000un_gs.json.gz,4009,1549865107#3072545115,1549865107,3072545115,1326665647,1326665647,0,label_conflict
de,gold-standards_adjusted/products20cc80rnd000un_gs.json.gz,4119,18465768764#5185529534,18465768764,5185529534,2365200155,2365200155,0,label_conflict
de,gold-standards_adjusted/products20cc80rnd000un_gs.json.gz,4160,107766860234#4944977785,107766860234,4944977785,3704652215,3704652215,0,label_conflict
de,gold-standards_adjusted/products20cc80rnd050un_gs.json.gz,59,1469947163#1402124924,1469947163,1402124924,1684043596,1684043596,0,label_conflict
de,gold-standards_adjusted/products20cc80rnd050un_gs.json.gz,472,1485299448#2055885528,1485299448,2055885528,1913244217,1913244217,0,label_conflict
de,gold-standards_adjusted/products20cc80rnd050un_gs.json.gz,836,4720990752#4808238795,4720990752,4808238795,4361304369,4361304369,1,label_conflict
de,gold-standards_adjusted/products20cc80rnd050un_gs.json.gz,1139,2050583480#1768955738,2050583480,1768955738,1351712962,1351712962,0,label_conflict
de,gold-standards_adjusted/products20cc80rnd050un_gs.json.gz,1152,4662287639#3913495754,4662287639,3913495754,2722278969,2722278969,0,label_conflict
de,gold-standards_adjusted/products20cc80rnd050un_gs.json.gz,1169,4538676877#4626053521,4538676877,4626053521,3723671230,3723671230,0,label_conflict
de,gold-standards_adjusted/products20cc80rnd050un_gs.json.gz,1225,2060512716#4793200474,2060512716,4793200474,2404914113,2404914113,0,label_conflict
de,gold-standards_adjusted/products20cc80rnd050un_gs.json.gz,1228,2060056435#2060254114,2060056435,2060254114,126630378,126630378,0,label_conflict
de,gold-standards_adjusted/products20cc80rnd050un_gs.json.gz,1523,4274088675#2671772709,4274088675,2671772709,1261149677,1261149677,0,label_conflict
de,gold-standards_adjusted/products20cc80rnd050un_gs.json.gz,1596,1659804386#2119447541,1659804386,2119447541,1355931009,1355931009,0,label_conflict
de,gold-standards_adjusted/products20cc80rnd050un_gs.json.gz,1756,5068270943#39074124372,5068270943,39074124372,4186325831,4186325831,0,label_conflict
de,gold-standards_adjusted/products20cc80rnd050un_gs.json.gz,1860,4359345477#4243154086,4359345477,4243154086,3830438873,3830438873,0,label_conflict
de,gold-standards_adjusted/products20cc80rnd050un_gs.json.gz,1982,4424722345#4999204837,4424722345,4999204837,3615316947,2146900507,1,label_conflict
de,gold-standards_adjusted/products20cc80rnd050un_gs.json.gz,2008,544241990815#2111494388,544241990815,2111494388,1636697368,1636697368,0,label_conflict
de,gold-standards_adjusted/products20cc80rnd050un_gs.json.gz,2081,4761512241#248352373136,4761512241,248352373136,3816931111,4295228166,1,label_conflict
de,gold-standards_adjusted/products20cc80rnd050un_gs.json.gz,2163,2062902494#2073958683,2062902494,2073958683,671657339,671657339,0,label_conflict
de,gold-standards_adjusted/products20cc80rnd050un_gs.json.gz,2250,3558421108#3797571274,3558421108,3797571274,3120778611,3120778611,0,label_conflict
de,gold-standards_adjusted/products20cc80rnd050un_gs.json.gz,2518,1810185303#2224193149,1810185303,2224193149,2120925098,2120925098,0,label_conflict
de,gold-standards_adjusted/products20cc80rnd050un_gs.json.gz,2662,4127437050#2125106599,4127437050,2125106599,2412179513,2412179513,0,label_conflict
de,gold-standards_adjusted/products20cc80rnd050un_gs.json.gz,2672,54159697837#5158514600,54159697837,5158514600,4293287891,4293287891,0,label_conflict
de,gold-standards_adjusted/products20cc80rnd050un_gs.json.gz,2831,3108657350#3912840540,3108657350,3912840540,2934881357,2934881357,0,label_conflict
de,gold-standards_adjusted/products20cc80rnd050un_gs.json.gz,2983,4491286629#4072428623,4491286629,4072428623,3169955826,3169955826,0,label_conflict
de,gold-standards_adjusted/products20cc80rnd050un_gs.json.gz,3300,4117064632#4425600562,4117064632,4425600562,2593899456,2593899456,0,label_conflict
de,gold-standards_adjusted/products20cc80rnd050un_gs.json.gz,3923,3435281641#3414192937,3435281641,3414192937,1672858811,1672858811,0,label_conflict
de,gold-standards_adjusted/products20cc80rnd050un_gs.json.gz,4055,4132467872#3881167105,4132467872,3881167105,1127396162,1127396162,0,label_conflict
de,gold-standards_adjusted/products20cc80rnd050un_gs.json.gz,4132,1798940576#3364587358,1798940576,3364587358,1632545396,1632545396,0,label_conflict
de,gold-standards_adjusted/products20cc80rnd100un_gs.json.gz,313,18468082722#4636354282,18468082722,4636354282,4087822860,4087822860,1,label_conflict
