Train/Valid/Test,Corner Cases,Unseen,Category,Total,Percentage
Test,20,0,Auto & Motorrad,468,0.05225547
Test,20,0,"Bücher, Filme & Musik",66,0.00736936
Test,20,0,Bürobedarf,86,0.0096025
Test,20,0,Elektronik & Computer,1908,0.21304154
Test,20,0,Gesundheit & Pflege,236,0.02635105
Test,20,0,Haustier & Tierbedarf,22,0.00245645
Test,20,0,Kleidung & Accessoires,2002,0.22353729
Test,20,0,Kosmetik & Drogerie,319,0.03561858
Test,20,0,Lebensmittel & Getränke,120,0.01339884
Test,20,0,Möbel & Wohnen,1707,0.19059848
Test,20,0,Spielzeug & Baby,439,0.04901742
Test,20,0,Sport & Freizeit,579,0.0646494
Test,20,0,Werkzeug & Baumarkt,1004,0.11210362
Test,20,50,Auto & Motorrad,409,0.04590348
Test,20,50,"Bücher, Filme & Musik",6,0.0006734
Test,20,50,Bürobedarf,54,0.00606061
Test,20,50,Elektronik & Computer,1088,0.12210999
Test,20,50,Gesundheit & Pflege,198,0.02222222
Test,20,50,Haustier & Tierbedarf,31,0.00347924
Test,20,50,Kleidung & Accessoires,2988,0.33535354
Test,20,50,Kosmetik & Drogerie,414,0.04646465
Test,20,50,Lebensmittel & Getränke,66,0.00740741
Test,20,50,Möbel & Wohnen,2061,0.23131313
Test,20,50,Spielzeug & Baby,367,0.04118967
Test,20,50,Sport & Freizeit,452,0.05072952
Test,20,50,Werkzeug & Baumarkt,776,0.08709315
Test,20,100,Auto & Motorrad,363,0.04070419
Test,20,100,"Bücher, Filme & Musik",37,0.00414891
Test,20,100,Bürobedarf,74,0.00829782
Test,20,100,Elektronik & Computer,783,0.08779996
Test,20,100,Gesundheit & Pflege,133,0.01491366
Test,20,100,Haustier & Tierbedarf,16,0.00179412
Test,20,100,Kleidung & Accessoires,3075,0.34480825
Test,20,100,Kosmetik & Drogerie,433,0.04855349
Test,20,100,Lebensmittel & Getränke,37,0.00414891
Test,20,100,Möbel & Wohnen,2526,0.28324736
Test,20,100,Spielzeug & Baby,495,0.05550572
Test,20,100,Sport & Freizeit,565,0.06335501
Test,20,100,Werkzeug & Baumarkt,381,0.04272258
