pair_id,label,New Label,c_u
113560958124#117756682724,1,0,20cc80_000
1701420365#1634624894,1,0,20cc80_000
18956333945#4522343644,1,0,20cc80_000
90088944269#4361945080,1,-1,20cc80_000
3747074740#2056703740,1,0,20cc80_000
5139738145#4749417182,1,0,20cc80_000
3550420996#3551045844,1,0,20cc80_000
4424218136#4670277179,1,0,20cc80_000
5122767275#38189434441,0,1,20cc80_000
1537439376#2119447541,1,0,20cc80_000
1384521138#1726849895,1,0,20cc80_000
3202650162#1690392435,1,0,20cc80_000
4754817670#4826662409,1,0,20cc80_000
5214349442#60746273843,1,0,20cc80_000
4855192008#4676945807,1,0,20cc80_000
42626234945#96464483573,1,-1,20cc80_000
4104893219#4264623066,1,0,20cc80_000
1789407336#1813034413,1,-1,20cc80_000
4391848279#4683128574,1,0,20cc80_000
5006683632#34523829000,1,0,20cc80_000
1861556379#3082192822,1,0,20cc80_000
4612325788#2081310427,1,-1,20cc80_000
3986635625#3797469476,1,0,20cc80_000
4683128792#5137789006,0,1,20cc80_000
4763332016#5174571094,1,-1,20cc80_000
4728019061#4786425036,1,0,20cc80_000
2067590020#2111616240,1,0,20cc80_000
3205210115#2314435227,1,-1,20cc80_000
4683128792#3267793397,0,1,20cc80_000
138691630850#1304937637,1,-1,20cc80_000
1848110456#1768955738,1,-1,20cc80_000
336084797451#4862162402,0,1,20cc80_000
427593909142#416910186231,1,0,20cc80_000
44044455454#1932527171,1,0,20cc80_000
1974801707#4797165686,1,0,20cc80_000
1485299018#1485299013,1,0,20cc80_000
3713044717#3708433646,1,0,20cc80_000
5196755485#8484260087,1,-1,20cc80_000
5140039711#5154554715,1,-1,20cc80_000
422592070627#2053826326,1,0,20cc80_000
3618222408#4099060832,1,0,20cc80_000
4420214504#4683128792,1,0,20cc80_000
25271558033#336084797451,1,0,20cc80_000
29004068614#5165641659,0,1,20cc80_000
3846933347#4242576131,1,0,20cc80_000
1806456429#2062281479,1,0,20cc80_000
4626053521#4547354791,1,-1,20cc80_000
3764168689#4457940843,1,0,20cc80_000
5063243277#5103620556,1,0,20cc80_000
4206249296#4706331170,1,0,20cc80_000
1309241824#1748267407,1,0,20cc80_000
23700156902#1441677912,1,0,20cc80_000
4111406344#2128587019,1,0,20cc80_000
4706331170#4970198147,0,-1,20cc80_000
4441056785#4091678032,1,0,20cc80_000
1485299312#2121552363,1,0,20cc80_000
332289128117#235475987798,1,0,20cc80_000
54163692074#5093302594,1,0,20cc80_000
1321409006#1319944337,1,0,20cc80_000
4848820948#4843658030,1,0,20cc80_000
1666737679#1627148430,1,0,20cc80_000
5103624144#2116384872,1,0,20cc80_000
2011135203#2056136170,1,0,20cc80_000
2054953236#2123105045,1,0,20cc80_000
49450621842#52473443269,1,0,20cc80_000
5066791120#54353744279,1,0,20cc80_000
3927195586#3911660194,1,0,20cc80_000
1305862252#2054786962,1,0,20cc80_000
4442434830#3750321162,1,-1,20cc80_000
4359345479#4243154090,1,0,20cc80_000
3708976648#2011422795,1,0,20cc80_000
2113209826#2061110696,1,0,20cc80_000
2720191918#3033451903,1,0,20cc80_000
4683128695#4219305678,1,0,20cc80_000
3997184387#5068111044,1,0,20cc80_000
3239345949#585216739399,1,0,20cc80_000
200793780504#15721336763,1,0,20cc80_000
2108617570#3114734058,1,-1,20cc80_000
2070081045#1768784044,1,0,20cc80_000
3862296444#3913210887,1,0,20cc80_000
388960992073#423255649219,1,-1,20cc80_000
1365425184#3945405605,1,0,20cc80_000
2055885530#2059581715,1,0,20cc80_000
2074381365#2065240489,1,0,20cc80_000
5182358949#1811606367,1,0,20cc80_000
3709911667#3797481052,1,0,20cc80_000
1774643505#2061948762,1,-1,20cc80_000
5174571094#4557843865,0,-1,20cc80_000
1650171814#1950837411,1,0,20cc80_000
4435546738#4332290907,1,-1,20cc80_000
5122767275#174309766992,0,1,20cc80_000
2055878959#2066608628,1,0,20cc80_000
3447177264#1909948077,1,0,20cc80_000
3794197830#4862162402,1,0,20cc80_000
2134510956#1548025566,1,0,20cc80_000
1319732582#2063877224,1,0,20cc80_000
4589673799#4595119059,1,0,20cc80_000
3798427322#4683128693,1,0,20cc80_000
3801970394#1802211277,1,0,20cc80_000
1549865107#3072545115,1,0,20cc80_000
3875487514#3709052310,1,0,20cc80_000
18465768764#5185529534,1,0,20cc80_000
107766860234#4944977785,1,0,20cc80_000
1799390134#1497894212,1,-1,20cc80_000
1927135903#1773082332,1,0,20cc80_000
1317769788#4852065333,1,-1,20cc80_000
4464262179#1923282767,1,0,20cc80_000
4506715468#4706331170,0,-1,20cc80_000
4752061423#3883531558,0,1,20cc80_000
3488840316#3363359717,1,0,20cc80_050
1469947163#1402124924,1,0,20cc80_050
4059739993#4197944029,1,0,20cc80_050
5038913286#82325773100,1,0,20cc80_050
85679298671#358968132955,1,-1,20cc80_050
4202066092#3364150594,1,0,20cc80_050
1306851139#1709836734,1,0,20cc80_050
4709177500#159730607651,1,0,20cc80_050
4587202995#3030484462,1,0,20cc80_050
2132795383#2160958435,1,0,20cc80_050
1780797402#1423369065,1,-1,20cc80_050
384709473414#81042916306,1,-1,20cc80_050
4672345130#3849875064,1,-1,20cc80_050
3964333871#1728174551,1,0,20cc80_050
3552909102#4492977050,1,-1,20cc80_050
41506701575#1415963077,1,0,20cc80_050
3053916069#2165666882,1,-1,20cc80_050
1485299448#2055885528,1,0,20cc80_050
4804117485#3829554374,0,-1,20cc80_050
1639423540#3236907215,1,-1,20cc80_050
134867489837#4967825383,1,0,20cc80_050
1654102057#1665894324,0,1,20cc80_050
4009292178#3277004292,1,0,20cc80_050
378612909737#329718595140,1,0,20cc80_050
1654102057#1656969942,0,1,20cc80_050
3754372320#2113758643,1,0,20cc80_050
1978617397#4684762583,1,0,20cc80_050
1646275700#1453532038,1,0,20cc80_050
1955016683#2977432095,1,-1,20cc80_050
2075611951#138960829393,1,-1,20cc80_050
1562031765#2058406199,1,0,20cc80_050
4786425036#4837628601,1,0,20cc80_050
1415683857#3915232509,1,-1,20cc80_050
5163636978#4970197889,1,-1,20cc80_050
1371717862#1320992608,0,1,20cc80_050
1813327174#1848719127,1,0,20cc80_050
2050583480#1768955738,1,0,20cc80_050
4662287639#3913495754,1,0,20cc80_050
4205653425#4111350011,1,0,20cc80_050
4538676877#4626053521,1,0,20cc80_050
3797173437#4676785037,1,-1,20cc80_050
2060512716#4793200474,1,0,20cc80_050
2060056435#2060254114,1,0,20cc80_050
18466913739#4790633062,1,0,20cc80_050
1639386839#8431814779,1,0,20cc80_050
2058531415#3931049291,1,0,20cc80_050
25271558033#248352373136,1,-1,20cc80_050
4756922573#4782070197,1,0,20cc80_050
4865786342#4523373320,1,0,20cc80_050
3878447642#3915028298,1,0,20cc80_050
3979834731#2005664884,1,0,20cc80_050
102525471237#109172324563,1,0,20cc80_050
5103620556#5059493292,1,0,20cc80_050
6633389924#5075124648,1,0,20cc80_050
4274088675#2671772709,1,0,20cc80_050
3979682744#3979663695,1,0,20cc80_050
4808180492#156276503010,1,0,20cc80_050
114401992972#50016874555,1,0,20cc80_050
4279780621#3632891899,1,0,20cc80_050
1659804386#2119447541,1,0,20cc80_050
1712004928#1535646713,1,0,20cc80_050
4003389165#4214624671,1,0,20cc80_050
3267793376#4683128695,1,0,20cc80_050
5068270943#39074124372,1,0,20cc80_050
1955026154#2111818909,1,0,20cc80_050
1998358860#322313716889,1,0,20cc80_050
4359345477#4243154086,1,0,20cc80_050
4145496082#3946584694,1,0,20cc80_050
3052169593#3052760872,1,0,20cc80_050
4841234225#3691706852,1,-1,20cc80_050
4999204993#3267792927,0,1,20cc80_050
2087025558#2062233925,1,0,20cc80_050
4424722345#4999204837,0,1,20cc80_050
43182039587#8645214070,1,0,20cc80_050
544241990815#2111494388,1,0,20cc80_050
1708941558#3402256673,1,0,20cc80_050
4761512241#248352373136,0,1,20cc80_050
4201950906#3245634417,1,-1,20cc80_050
3401828702#3215754174,1,-1,20cc80_050
2062902494#2073958683,1,0,20cc80_050
4261169259#4255600579,1,-1,20cc80_050
3558421108#3797571274,1,0,20cc80_050
1690392435#3202650162,1,0,20cc80_050
9283556866#194754298019,1,-1,20cc80_050
4018768324#4624086112,1,0,20cc80_050
1810185303#2224193149,1,0,20cc80_050
3881831374#5083891634,1,-1,20cc80_050
4649888830#4081101808,1,0,20cc80_050
4392093932#4304580582,1,0,20cc80_050
4127437050#2125106599,1,0,20cc80_050
4133985654#76784498137,1,0,20cc80_050
54159697837#5158514600,1,0,20cc80_050
4808240601#4720990748,1,-1,20cc80_050
2011422795#3709910119,1,0,20cc80_050
4590104087#2296910026,1,0,20cc80_050
2150886701#1440645051,1,0,20cc80_050
3108657350#3912840540,1,0,20cc80_050
3747247759#2056703740,1,-1,20cc80_050
4999204993#4999204837,0,-1,20cc80_050
5196755485#23641510617,1,0,20cc80_050
4196030610#2977755545,1,0,20cc80_050
3881727524#4624558262,1,-1,20cc80_050
4808170837#574468673943,1,0,20cc80_050
76470034601#16826928982,1,0,20cc80_050
1715361146#1666737679,1,0,20cc80_050
1627677359#2068603286,1,0,20cc80_050
4491286629#4072428623,1,0,20cc80_050
4836895938#5163636978,0,-1,20cc80_050
1639169322#2061673701,1,-1,20cc80_050
3061084981#1861556379,1,0,20cc80_050
4436222774#4203146420,1,0,20cc80_050
418887222012#569491804341,1,0,20cc80_050
3638725857#4214872608,1,-1,20cc80_050
176077750624#201180045587,1,-1,20cc80_050
4189391263#4259837358,1,0,20cc80_050
3546199472#3470855139,1,0,20cc80_050
4117064632#4425600562,1,0,20cc80_050
398485485010#371921998418,1,0,20cc80_050
5078702464#1592595202,1,-1,20cc80_050
3829554374#4161509156,0,-1,20cc80_050
5021510219#4843658030,1,0,20cc80_050
1512655217#3045486706,1,-1,20cc80_050
5003714231#5182358949,1,0,20cc80_050
1688767039#1802468675,1,0,20cc80_050
5098812409#5050765983,1,-1,20cc80_050
2007329552#1816430010,1,0,20cc80_050
3045580653#3047028308,1,0,20cc80_050
4201800596#4283342406,1,-1,20cc80_050
4623955842#4636524355,1,0,20cc80_050
4623930569#135779450319,1,-1,20cc80_050
4666990747#4557843865,1,-1,20cc80_050
4758052328#248352373136,0,1,20cc80_050
3569752280#4212827921,1,-1,20cc80_050
417283434001#199679645647,1,-1,20cc80_050
3798189679#1568784013,1,-1,20cc80_050
57482538021#189641569958,1,0,20cc80_050
1848180229#1847939089,1,0,20cc80_050
4582141355#4787793905,1,-1,20cc80_050
523927727784#351410861143,1,-1,20cc80_050
5214349442#41958860915,1,0,20cc80_050
4828654874#4900124238,1,0,20cc80_050
3435281641#3414192937,1,0,20cc80_050
1951491884#2004718856,1,0,20cc80_050
3951041977#4506637171,1,0,20cc80_050
125323389433#201663692217,1,0,20cc80_050
4498417740#4897041544,1,-1,20cc80_050
4020730390#3774085428,1,0,20cc80_050
4444217370#4575536000,1,-1,20cc80_050
3633736951#5163636978,0,-1,20cc80_050
4038971285#226460833239,1,0,20cc80_050
4132467872#3881167105,1,0,20cc80_050
1798940576#3364587358,1,0,20cc80_050
2564918524#4636302616,1,0,20cc80_050
2060185500#2212287890,1,0,20cc80_050
1479236024#1371717862,1,0,20cc80_050
4636583527#4902984206,1,0,20cc80_050
3369184055#2078835030,1,0,20cc80_050
