category_pair,f1,total_count,cc,un,size,run_id
Kleidung & Accessoires | Kleidung & Accessoires,0.5320197044334976,919,20,100,small,1
Möbel & Wohnen | Möbel & Wohnen,0.4975124378109453,709,20,100,small,1
Kleidung & Accessoires | Möbel & Wohnen,0.35714285714285715,429,20,100,small,1
Kleidung & Accessoires | Sport & Freizeit,0.5357142857142857,206,20,100,small,1
Elektronik & Computer | Möbel & Wohnen,0.7441860465116279,194,20,100,small,1
Elektronik & Computer | Kleidung & Accessoires,0.5714285714285714,176,20,100,small,1
Möbel & Wohnen | Werkzeug & Baumarkt,0.5185185185185185,108,20,100,small,1
Elektronik & Computer | Elektronik & Computer,0.958904109589041,102,20,100,small,1
Kleidung & Accessoires | Spielzeug & Baby,1.0,97,20,100,small,1
Spielzeug & Baby | Spielzeug & Baby,0.6285714285714286,97,20,100,small,1
Möbel & Wohnen | Spielzeug & Baby,0.631578947368421,97,20,100,small,1
Kleidung & Accessoires | Kosmetik & Drogerie,0.8,93,20,100,small,1
Sport & Freizeit | Sport & Freizeit,0.4827586206896552,89,20,100,small,1
Möbel & Wohnen | Sport & Freizeit,1.0,87,20,100,small,1
Auto & Motorrad | Kleidung & Accessoires,0.0,83,20,100,small,1
Kleidung & Accessoires | Werkzeug & Baumarkt,0.3333333333333333,80,20,100,small,1
Auto & Motorrad | Auto & Motorrad,0.8837209302325582,79,20,100,small,1
Kosmetik & Drogerie | Möbel & Wohnen,0.8,75,20,100,small,1
Kosmetik & Drogerie | Kosmetik & Drogerie,0.782608695652174,72,20,100,small,1
Elektronik & Computer | Werkzeug & Baumarkt,0.8571428571428571,55,20,100,small,1
Auto & Motorrad | Möbel & Wohnen,0.0,46,20,100,small,1
Elektronik & Computer | Spielzeug & Baby,0.0,38,20,100,small,1
Elektronik & Computer | Kosmetik & Drogerie,1.0,37,20,100,small,1
Gesundheit & Pflege | Möbel & Wohnen,0.8,29,20,100,small,1
Gesundheit & Pflege | Kleidung & Accessoires,0.0,29,20,100,small,1
Werkzeug & Baumarkt | Werkzeug & Baumarkt,0.8947368421052632,27,20,100,small,1
Spielzeug & Baby | Werkzeug & Baumarkt,0.0,23,20,100,small,1
Kosmetik & Drogerie | Werkzeug & Baumarkt,1.0,21,20,100,small,1
Elektronik & Computer | Gesundheit & Pflege,0.0,20,20,100,small,1
Elektronik & Computer | Sport & Freizeit,0.0,20,20,100,small,1
Auto & Motorrad | Elektronik & Computer,0.0,19,20,100,small,1
Gesundheit & Pflege | Kosmetik & Drogerie,0.6363636363636364,19,20,100,small,1
Bürobedarf | Kleidung & Accessoires,0.0,18,20,100,small,1
Kosmetik & Drogerie | Sport & Freizeit,0.0,16,20,100,small,1
Sport & Freizeit | Werkzeug & Baumarkt,0.0,15,20,100,small,1
Auto & Motorrad | Sport & Freizeit,0.0,14,20,100,small,1
Auto & Motorrad | Spielzeug & Baby,0.0,13,20,100,small,1
Bürobedarf | Möbel & Wohnen,0.0,13,20,100,small,1
Lebensmittel & Getränke | Möbel & Wohnen,1.0,12,20,100,small,1
Bürobedarf | Elektronik & Computer,1.0,12,20,100,small,1
"Bücher, Filme & Musik | Möbel & Wohnen",0.6666666666666666,12,20,100,small,1
Spielzeug & Baby | Sport & Freizeit,1.0,12,20,100,small,1
Kleidung & Accessoires | Lebensmittel & Getränke,0.0,11,20,100,small,1
"Bücher, Filme & Musik | Kleidung & Accessoires",1.0,10,20,100,small,1
Auto & Motorrad | Werkzeug & Baumarkt,0.0,10,20,100,small,1
Kosmetik & Drogerie | Spielzeug & Baby,0.0,10,20,100,small,1
Gesundheit & Pflege | Werkzeug & Baumarkt,0.0,8,20,100,small,1
Gesundheit & Pflege | Sport & Freizeit,0.0,8,20,100,small,1
Bürobedarf | Kosmetik & Drogerie,0.0,8,20,100,small,1
Auto & Motorrad | Kosmetik & Drogerie,0.0,7,20,100,small,1
Haustier & Tierbedarf | Möbel & Wohnen,0.0,6,20,100,small,1
Gesundheit & Pflege | Gesundheit & Pflege,0.8571428571428571,6,20,100,small,1
Elektronik & Computer | Lebensmittel & Getränke,0.6666666666666666,5,20,100,small,1
Bürobedarf | Sport & Freizeit,0.0,5,20,100,small,1
Auto & Motorrad | Gesundheit & Pflege,0.0,5,20,100,small,1
Haustier & Tierbedarf | Kleidung & Accessoires,0.0,5,20,100,small,1
Bürobedarf | Werkzeug & Baumarkt,0.0,5,20,100,small,1
Bürobedarf | Spielzeug & Baby,1.0,3,20,100,small,1
Bürobedarf | Bürobedarf,1.0,3,20,100,small,1
Auto & Motorrad | Bürobedarf,0.0,3,20,100,small,1
"Bücher, Filme & Musik | Spielzeug & Baby",0.0,3,20,100,small,1
"Bücher, Filme & Musik | Elektronik & Computer",0.0,3,20,100,small,1
Auto & Motorrad | Lebensmittel & Getränke,0.0,2,20,100,small,1
Kosmetik & Drogerie | Lebensmittel & Getränke,1.0,2,20,100,small,1
Gesundheit & Pflege | Spielzeug & Baby,0.0,2,20,100,small,1
"Bücher, Filme & Musik | Sport & Freizeit",0.0,2,20,100,small,1
Haustier & Tierbedarf | Spielzeug & Baby,0.0,2,20,100,small,1
Lebensmittel & Getränke | Sport & Freizeit,0.0,2,20,100,small,1
"Auto & Motorrad | Bücher, Filme & Musik",0.0,2,20,100,small,1
Auto & Motorrad | Haustier & Tierbedarf,0.0,1,20,100,small,1
"Bücher, Filme & Musik | Werkzeug & Baumarkt",0.0,1,20,100,small,1
"Bücher, Filme & Musik | Gesundheit & Pflege",0.0,1,20,100,small,1
Lebensmittel & Getränke | Spielzeug & Baby,0.0,1,20,100,small,1
"Bücher, Filme & Musik | Lebensmittel & Getränke",1.0,1,20,100,small,1
"Bücher, Filme & Musik | Bürobedarf",0.0,1,20,100,small,1
Lebensmittel & Getränke | Werkzeug & Baumarkt,0.0,1,20,100,small,1
"Bücher, Filme & Musik | Kosmetik & Drogerie",0.0,1,20,100,small,1
Haustier & Tierbedarf | Haustier & Tierbedarf,1.0,1,20,100,small,1
Möbel & Wohnen | Möbel & Wohnen,0.2830188679245283,1014,80,100,small,2
Kleidung & Accessoires | Kleidung & Accessoires,0.26262626262626265,844,80,100,small,2
Kleidung & Accessoires | Möbel & Wohnen,0.0,382,80,100,small,2
Kleidung & Accessoires | Sport & Freizeit,0.18518518518518517,177,80,100,small,2
Werkzeug & Baumarkt | Werkzeug & Baumarkt,0.3157894736842105,170,80,100,small,2
Möbel & Wohnen | Werkzeug & Baumarkt,0.11594202898550725,155,80,100,small,2
Kosmetik & Drogerie | Kosmetik & Drogerie,0.358974358974359,151,80,100,small,2
Elektronik & Computer | Möbel & Wohnen,0.17647058823529413,114,80,100,small,2
Elektronik & Computer | Kleidung & Accessoires,0.0,105,80,100,small,2
Kosmetik & Drogerie | Möbel & Wohnen,0.16,101,80,100,small,2
Kleidung & Accessoires | Kosmetik & Drogerie,0.0,96,80,100,small,2
Sport & Freizeit | Sport & Freizeit,0.36363636363636365,91,80,100,small,2
Kleidung & Accessoires | Werkzeug & Baumarkt,0.0,84,80,100,small,2
Spielzeug & Baby | Spielzeug & Baby,0.37037037037037035,73,80,100,small,2
Möbel & Wohnen | Sport & Freizeit,0.0,62,80,100,small,2
Elektronik & Computer | Elektronik & Computer,0.5,60,80,100,small,2
Kleidung & Accessoires | Spielzeug & Baby,0.19047619047619047,60,80,100,small,2
Gesundheit & Pflege | Gesundheit & Pflege,0.26666666666666666,56,80,100,small,2
Auto & Motorrad | Auto & Motorrad,0.4117647058823529,53,80,100,small,2
Gesundheit & Pflege | Kleidung & Accessoires,0.0,52,80,100,small,2
Gesundheit & Pflege | Möbel & Wohnen,0.0,51,80,100,small,2
Möbel & Wohnen | Spielzeug & Baby,0.5714285714285714,42,80,100,small,2
Gesundheit & Pflege | Kosmetik & Drogerie,0.2727272727272727,41,80,100,small,2
Auto & Motorrad | Kleidung & Accessoires,0.0,39,80,100,small,2
Elektronik & Computer | Sport & Freizeit,0.42105263157894735,37,80,100,small,2
Elektronik & Computer | Werkzeug & Baumarkt,0.2857142857142857,31,80,100,small,2
Kosmetik & Drogerie | Werkzeug & Baumarkt,0.0,27,80,100,small,2
Auto & Motorrad | Möbel & Wohnen,0.0,25,80,100,small,2
Sport & Freizeit | Werkzeug & Baumarkt,0.18181818181818182,23,80,100,small,2
